Enter number of servers: 10 Enter total simulation time: 10000 Starting queue size: 0
Task times range: 1 - 10 seconds
Adding request: 192.168.0.1 -> 192.168.0.2 with time 7
Adding request: 192.168.0.1 -> 192.168.0.2 with time 6
Adding request: 192.168.0.1 -> 192.168.0.2 with time 10
Adding request: 192.168.0.1 -> 192.168.0.2 with time 3
Adding request: 192.168.0.1 -> 192.168.0.2 with time 10
Adding request: 192.168.0.1 -> 192.168.0.2 with time 7
Adding request: 192.168.0.1 -> 192.168.0.2 with time 7
Adding request: 192.168.0.1 -> 192.168.0.2 with time 7
Adding request: 192.168.0.1 -> 192.168.0.2 with time 9
Adding request: 192.168.0.1 -> 192.168.0.2 with time 1
Adding request: 192.168.0.1 -> 192.168.0.2 with time 4
Adding request: 192.168.0.1 -> 192.168.0.2 with time 3
Adding request: 192.168.0.1 -> 192.168.0.2 with time 7
Adding request: 192.168.0.1 -> 192.168.0.2 with time 3
Adding request: 192.168.0.1 -> 192.168.0.2 with time 2
Adding request: 192.168.0.1 -> 192.168.0.2 with time 8
Adding request: 192.168.0.1 -> 192.168.0.2 with time 6
Adding request: 192.168.0.1 -> 192.168.0.2 with time 4
Adding request: 192.168.0.1 -> 192.168.0.2 with time 1
Adding request: 192.168.0.1 -> 192.168.0.2 with time 3
Adding request: 192.168.0.1 -> 192.168.0.2 with time 7
Adding request: 192.168.0.1 -> 192.168.0.2 with time 6
Adding request: 192.168.0.1 -> 192.168.0.2 with time 8
Adding request: 192.168.0.1 -> 192.168.0.2 with time 8
Adding request: 192.168.0.1 -> 192.168.0.2 with time 6
Adding request: 192.168.0.1 -> 192.168.0.2 with time 6
Adding request: 192.168.0.1 -> 192.168.0.2 with time 8
Adding request: 192.168.0.1 -> 192.168.0.2 with time 5
Adding request: 192.168.0.1 -> 192.168.0.2 with time 1
Adding request: 192.168.0.1 -> 192.168.0.2 with time 4
Adding request: 192.168.0.1 -> 192.168.0.2 with time 5
Adding request: 192.168.0.1 -> 192.168.0.2 with time 1
Adding request: 192.168.0.1 -> 192.168.0.2 with time 7
Adding request: 192.168.0.1 -> 192.168.0.2 with time 10
Adding request: 192.168.0.1 -> 192.168.0.2 with time 5
Adding request: 192.168.0.1 -> 192.168.0.2 with time 8
Adding request: 192.168.0.1 -> 192.168.0.2 with time 8
Adding request: 192.168.0.1 -> 192.168.0.2 with time 3
Adding request: 192.168.0.1 -> 192.168.0.2 with time 1
Adding request: 192.168.0.1 -> 192.168.0.2 with time 6
Adding request: 192.168.0.1 -> 192.168.0.2 with time 10
Adding request: 192.168.0.1 -> 192.168.0.2 with time 10
Adding request: 192.168.0.1 -> 192.168.0.2 with time 8
Adding request: 192.168.0.1 -> 192.168.0.2 with time 2
Adding request: 192.168.0.1 -> 192.168.0.2 with time 7
Adding request: 192.168.0.1 -> 192.168.0.2 with time 10
Adding request: 192.168.0.1 -> 192.168.0.2 with time 9
Adding request: 192.168.0.1 -> 192.168.0.2 with time 3
Adding request: 192.168.0.1 -> 192.168.0.2 with time 10
Adding request: 192.168.0.1 -> 192.168.0.2 with time 9
Adding request: 192.168.0.1 -> 192.168.0.2 with time 10
Adding request: 192.168.0.1 -> 192.168.0.2 with time 9
Adding request: 192.168.0.1 -> 192.168.0.2 with time 2
Adding request: 192.168.0.1 -> 192.168.0.2 with time 9
Adding request: 192.168.0.1 -> 192.168.0.2 with time 1
Adding request: 192.168.0.1 -> 192.168.0.2 with time 1
Adding request: 192.168.0.1 -> 192.168.0.2 with time 5
Adding request: 192.168.0.1 -> 192.168.0.2 with time 5
Adding request: 192.168.0.1 -> 192.168.0.2 with time 2
Adding request: 192.168.0.1 -> 192.168.0.2 with time 2
Adding request: 192.168.0.1 -> 192.168.0.2 with time 2
Adding request: 192.168.0.1 -> 192.168.0.2 with time 9
Adding request: 192.168.0.1 -> 192.168.0.2 with time 2
Adding request: 192.168.0.1 -> 192.168.0.2 with time 4
Adding request: 192.168.0.1 -> 192.168.0.2 with time 4
Adding request: 192.168.0.1 -> 192.168.0.2 with time 5
Adding request: 192.168.0.1 -> 192.168.0.2 with time 4
Adding request: 192.168.0.1 -> 192.168.0.2 with time 4
Adding request: 192.168.0.1 -> 192.168.0.2 with time 10
Adding request: 192.168.0.1 -> 192.168.0.2 with time 6
Adding request: 192.168.0.1 -> 192.168.0.2 with time 1
Adding request: 192.168.0.1 -> 192.168.0.2 with time 7
Adding request: 192.168.0.1 -> 192.168.0.2 with time 3
Adding request: 192.168.0.1 -> 192.168.0.2 with time 8
Adding request: 192.168.0.1 -> 192.168.0.2 with time 9
Adding request: 192.168.0.1 -> 192.168.0.2 with time 3
